date,signal_id,direction,raw_value,triggered,universe_size,valid_count,version,quality_available,score_available,change_available,signal_available,limit_hit_net_rank250,limit_close_net_rank250,limit_hit_rank_history_count,limit_close_rank_history_count,limit_rank_history_count,limit_score,limit_score_change_5d,limit_up_hit_count,limit_down_hit_count,limit_up_close_count,limit_down_close_count,limit_hit_net_count,limit_close_net_count,limit_up_hit_ratio,limit_down_hit_ratio,limit_up_close_ratio,limit_down_close_ratio,limit_hit_net_ratio,limit_close_net_ratio,valid_count_limit,limit_price_missing_count,limit_hit_total_ratio,limit_close_total_ratio,episode_id,episode_number,episode_day,episode_stage,event_onset,event_continuation,event_exit,event_capped_confirmation,capped_confirmation_reason,capped_confirmation_n
2012-07-05,limit_up_down_breadth_bottom,bottom,0.075,False,2151,2114,limit_up_down_breadth_v1_20120705_20260814,True,True,False,False,0.08333333333333333,0.06666666666666667,120,120,120,0.075,,6,14,2,9,-8,-7,0.002838221381,0.006622516556,0.0009460737938,0.004257332072,-0.003784295175,-0.003311258278,2114,0,0.009460737936999999,0.0052034058658,,,,inactive,False,False,False,False,,2
2012-07-06,limit_up_down_breadth_bottom,bottom,0.42148760330578516,False,2151,2111,limit_up_down_breadth_v1_20120705_20260814,True,True,False,False,0.32231404958677684,0.5206611570247934,121,121,121,0.42148760330578516,,20,8,14,3,12,11,0.009474182852,0.003789673141,0.006631927996,0.001421127428,0.005684509711,0.005210800568,2111,0,0.013263855993,0.008053055424,,,,inactive,False,False,False,False,,2
2012-07-09,limit_up_down_breadth_bottom,bottom,0.06557377049180327,False,2151,2124,limit_up_down_breadth_v1_20120705_20260814,True,True,False,False,0.08196721311475409,0.04918032786885246,122,122,122,0.06557377049180327,,11,21,1,14,-10,-13,0.005178907721,0.00988700565,0.0004708097928,0.0065913371,-0.004708097928,-0.006120527307,2124,0,0.015065913371000002,0.0070621468928,,,,inactive,False,False,False,False,,2
2012-07-10,limit_up_down_breadth_bottom,bottom,0.07317073170731708,False,2151,2124,limit_up_down_breadth_v1_20120705_20260814,True,True,False,False,0.08130081300813008,0.06504065040650407,123,123,123,0.07317073170731708,,15,27,7,18,-12,-11,0.007062146893,0.01271186441,0.00329566855,0.008474576271,-0.005649717514,-0.005178907721,2124,0,0.019774011303,0.011770244821,,,,inactive,False,False,False,False,,2
2012-07-11,limit_up_down_breadth_bottom,bottom,0.1935483870967742,False,2151,2127,limit_up_down_breadth_v1_20120705_20260814,True,True,False,False,0.20161290322580644,0.18548387096774194,124,124,124,0.1935483870967742,,17,11,11,7,6,4,0.007992477668,0.005171603197,0.005171603197,0.003291020216,0.002820874471,0.001880582981,2127,0,0.013164080865,0.008462623413,,,,inactive,False,False,False,False,,2
2012-07-12,limit_up_down_breadth_bottom,bottom,0.5880000000000001,False,2151,2127,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.504,0.672,125,125,125,0.5880000000000001,0.5130000000000001,24,7,16,0,17,16,0.01128349788,0.003291020216,0.007522331923,0.0,0.007992477668,0.007522331923,2127,0,0.014574518096,0.007522331923,,,,inactive,False,False,False,False,,2
2012-07-13,limit_up_down_breadth_bottom,bottom,0.10317460317460317,False,2151,2129,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.11904761904761904,0.0873015873015873,126,126,126,0.10317460317460317,-0.318313000131182,12,17,8,15,-5,-7,0.005636449037,0.007984969469,0.003757632691,0.007045561296,-0.002348520432,-0.003287928605,2129,0,0.013621418506,0.010803193987,,,,inactive,False,False,False,False,,2
2012-07-16,limit_up_down_breadth_bottom,bottom,0.007874015748031496,False,2151,2124,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.007874015748031496,0.007874015748031496,127,127,127,0.007874015748031496,-0.05769975474377177,8,162,2,92,-154,-90,0.003766478343,0.07627118644,0.0009416195857,0.04331450094,-0.0725047081,-0.04237288136,2124,0,0.080037664783,0.0442561205257,,,,inactive,False,False,False,False,,2
2012-07-17,limit_up_down_breadth_bottom,bottom,0.484375,False,2151,2124,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.2421875,0.7265625,128,128,128,0.484375,0.4112042682926829,27,18,18,1,9,17,0.01271186441,0.008474576271,0.008474576271,0.0004708097928,0.004237288136,0.008003766478,2124,0,0.021186440681,0.0089453860638,,,,inactive,False,False,False,False,,2
2012-07-18,limit_up_down_breadth_bottom,bottom,0.6666666666666666,False,2151,2120,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.5348837209302325,0.7984496124031008,129,129,129,0.6666666666666666,0.47311827956989244,27,8,19,0,19,19,0.01273584906,0.003773584906,0.008962264151,0.0,0.008962264151,0.008962264151,2120,0,0.016509433966,0.008962264151,,,,inactive,False,False,False,False,,2
2012-07-19,limit_up_down_breadth_bottom,bottom,0.9615384615384616,False,2151,2119,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.9615384615384616,0.9615384615384616,130,130,130,0.9615384615384616,0.3735384615384615,64,1,44,1,63,43,0.03020292591,0.0004719207173,0.02076451156,0.0004719207173,0.02973100519,0.02029259084,2119,0,0.030674846627300002,0.021236432277300002,,,,inactive,False,False,False,False,,2
2012-07-20,limit_up_down_breadth_bottom,bottom,0.8549618320610687,False,2151,2120,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.8091603053435115,0.9007633587786259,131,131,131,0.8549618320610687,0.7517872288864655,37,4,29,1,33,28,0.01745283019,0.001886792453,0.01367924528,0.0004716981132,0.01556603774,0.01320754717,2120,0,0.019339622643,0.0141509433932,,,,inactive,False,False,False,False,,2
2012-07-23,limit_up_down_breadth_bottom,bottom,0.46590909090909094,False,2151,2119,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.48484848484848486,0.44696969696969696,132,132,132,0.46590909090909094,0.45803507516105946,23,7,14,4,16,10,0.0108541765,0.003303445021,0.006606890042,0.001887682869,0.007550731477,0.004719207173,2119,0,0.014157621520999999,0.008494572911,,,,inactive,False,False,False,False,,2
2012-07-24,limit_up_down_breadth_bottom,bottom,0.736842105263158,False,2151,2121,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.7593984962406015,0.7142857142857143,133,133,133,0.736842105263158,0.25246710526315796,30,1,17,0,29,17,0.01414427157,0.000471475719,0.008015087223,0.0,0.01367279585,0.008015087223,2121,0,0.014615747289,0.008015087223,,,,inactive,False,False,False,False,,2
2012-07-25,limit_up_down_breadth_bottom,bottom,0.49626865671641796,False,2151,2127,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.5522388059701493,0.44029850746268656,134,134,134,0.49626865671641796,-0.17039800995024867,22,2,11,1,20,10,0.01034320639,0.0009402914904,0.005171603197,0.0004701457452,0.009402914904,0.004701457452,2127,0,0.0112834978804,0.0056417489422,,,,inactive,False,False,False,False,,2
2012-07-26,limit_up_down_breadth_bottom,bottom,0.2185185185185185,False,2151,2128,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.2074074074074074,0.22962962962962963,135,135,135,0.2185185185185185,-0.7430199430199431,14,7,7,2,7,5,0.006578947368,0.003289473684,0.003289473684,0.0009398496241,0.003289473684,0.00234962406,2128,0,0.009868421052,0.0042293233081000005,,,,inactive,False,False,False,False,,2
2012-07-27,limit_up_down_breadth_bottom,bottom,0.2389705882352941,False,2151,2126,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.21323529411764705,0.2647058823529412,136,136,136,0.2389705882352941,-0.6159912438257746,11,4,7,1,7,6,0.005174035748,0.001881467545,0.003292568203,0.0004703668862,0.003292568203,0.002822201317,2126,0,0.007055503293,0.0037629350892,,,,inactive,False,False,False,False,,2
2012-07-30,limit_up_down_breadth_bottom,bottom,0.043795620437956206,False,2151,2127,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.043795620437956206,0.043795620437956206,137,137,137,0.043795620437956206,-0.42211347047113473,7,49,4,27,-42,-23,0.003291020216,0.02303714151,0.001880582981,0.01269393512,-0.0197461213,-0.01081335214,2127,0,0.026328161726000002,0.014574518101,,,,inactive,False,False,False,False,,2
2012-07-31,limit_up_down_breadth_bottom,bottom,0.06159420289855072,False,2151,2128,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.06521739130434782,0.057971014492753624,138,138,138,0.06159420289855072,-0.6752479023646072,11,47,7,21,-36,-14,0.005169172932,0.02208646617,0.003289473684,0.009868421053,-0.01691729323,-0.006578947368,2128,0,0.027255639102,0.013157894737,,,,inactive,False,False,False,False,,2
2012-08-01,limit_up_down_breadth_bottom,bottom,0.5611510791366907,False,2151,2127,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.5755395683453237,0.5467625899280576,139,139,139,0.5611510791366907,0.06488242242027276,23,2,12,0,21,12,0.01081335214,0.0009402914904,0.005641748942,0.0,0.009873060649,0.005641748942,2127,0,0.011753643630399999,0.005641748942,,,,inactive,False,False,False,False,,2
2012-08-02,limit_up_down_breadth_bottom,bottom,0.32857142857142857,False,2151,2125,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.2857142857142857,0.37142857142857144,140,140,140,0.32857142857142857,0.11005291005291007,16,6,9,1,10,8,0.007529411765,0.002823529412,0.004235294118,0.0004705882353,0.004705882353,0.003764705882,2125,0,0.010352941176999999,0.0047058823533,,,,inactive,False,False,False,False,,2
2012-08-03,limit_up_down_breadth_bottom,bottom,0.8439716312056738,False,2151,2127,limit_up_down_breadth_v1_20120705_20260814,True,True,True,True,0.8156028368794326,0.8723404255319149,141,141,141,0.8439716312056738,0.6050010429703796,36,3,24,0,33,24,0.01692524683,0.001410437236,0.01128349788,0.0,0.01551480959,0.01128349788,2127,0,0.018335684066000002,0.01128349788,,,,inactive,False,False,False,False,,2
